stop_id,stop_city
779543,Durham
779547,Durham
779548,Durham
779549,Durham
779550,Durham
779558,Durham
779559,Durham
779563,Durham
779565,Durham
779566,Durham
779567,Durham
779568,Durham
779569,Durham
779570,Durham
779572,Durham
779573,Durham
779574,Durham
779575,Durham
779576,Durham
779578,Durham
779579,Durham
779582,Durham
779585,Durham
779586,Durham
779587,Durham
779593,Durham
779594,Durham
779596,Durham
779599,Durham
779602,Durham
779603,Durham
779607,Durham
779610,Durham
779611,Durham
779612,Durham
779613,Durham
779614,Durham
779615,Durham
779616,Durham
779619,Durham
779620,Durham
779621,Durham
779622,Durham
779623,Durham
779624,Durham
779625,Durham
779626,Durham
779628,Durham
779629,Durham
779631,Durham
779633,Durham
779636,Durham
779637,Durham
779638,Durham
779639,Durham
779641,Durham
779645,Durham
779649,Raleigh
779652,Raleigh
779653,Raleigh
779655,Durham
779660,Durham
779662,Durham
779663,Durham
779664,Durham
779665,Durham
779666,Durham
779667,Durham
779668,Durham
779670,Durham
779671,Durham
779672,Durham
779673,Durham
779674,Morrisville
779675,Durham
779677,Durham
779678,Durham
779679,Durham
779680,Durham
779681,Durham
779682,Durham
779683,Durham
779684,Durham
779685,Durham
779686,Durham
779688,Durham
779689,Durham
779692,Durham
779693,Durham
779695,Durham
779696,Durham
779697,Durham
779698,Durham
779702,Durham
779703,Durham
779705,Durham
779707,Durham
779708,Durham
779709,Durham
779710,Durham
779711,Durham
779712,Durham
779714,Durham
779715,Durham
779716,Durham
779717,Durham
779719,Durham
779724,Durham
779728,Durham
779729,Durham
779732,Durham
779736,Durham
779737,Durham
779738,Durham
779739,Durham
779740,Durham
779741,Durham
779742,Durham
779744,Durham
779745,Durham
779747,Durham
779748,Durham
779749,Durham
779751,Durham
779752,Durham
779753,Durham
779754,Durham
779757,Durham
779758,Durham
779760,Durham
779761,Durham
779764,Durham
779765,Durham
779766,Durham
779767,Durham
779768,Durham
779769,Durham
779770,Durham
779771,Durham
779772,Durham
779773,Durham
779774,Durham
779775,Durham
779776,Durham
779777,Durham
779780,Durham
779781,Durham
779782,Durham
779783,Durham
779786,Durham
779787,Durham
779789,Durham
779790,Durham
779791,Durham
779792,Durham
779793,Durham
779794,Durham
779795,Durham
779796,Durham
779800,Durham
779801,Durham
779808,Durham
779809,Durham
779810,Durham
779811,Durham
779812,Durham
779813,Durham
779814,Durham
779824,Durham
779825,Durham
779826,Durham
779827,Durham
779828,Durham
779829,Durham
779830,Durham
779831,Durham
779832,Durham
779833,Durham
779834,Durham
779835,Durham
779836,Durham
779837,Durham
779838,Durham
779839,Durham
779840,Durham
779841,Durham
779842,Durham
779843,Durham
779844,Durham
779845,Durham
779846,Durham
779847,Morrisville
779848,Raleigh
779849,Morrisville
779850,Durham
779851,Durham
779852,Durham
779853,Durham
779855,Durham
779856,Durham
779858,Durham
779859,Durham
779860,Durham
779862,Durham
779863,Durham
779864,Durham
779865,Durham
779867,Durham
779868,Durham
779869,Durham
779871,Durham
779872,Durham
779873,Durham
779874,Durham
779875,Durham
779876,Durham
779877,Durham
779878,Durham
779879,Durham
779880,Durham
779881,Durham
779882,Durham
779883,Durham
779886,Durham
779887,Durham
779888,Durham
779889,Durham
779890,Durham
779891,Durham
779892,Durham
779893,Durham
779894,Durham
779895,Durham
779896,Durham
779898,Durham
779899,Durham
779900,Durham
779901,Durham
779902,Durham
779903,Durham
779904,Durham
779905,Durham
779906,Durham
779907,Durham
779908,Durham
779909,Durham
779910,Durham
779911,Durham
779912,Durham
779913,Durham
779915,Durham
779916,Durham
779917,Durham
779918,Durham
779920,Durham
779921,Durham
779922,Durham
779925,Durham
779926,Durham
779927,Durham
779928,Durham
779929,Durham
779930,Durham
779931,Durham
779932,Durham
779933,Durham
779934,Durham
779937,Durham
779941,Durham
779942,Durham
779943,Durham
779944,Durham
779945,Durham
779946,Durham
779947,Durham
779948,Durham
779949,Durham
779951,Durham
779952,Durham
779953,Durham
779954,Durham
779955,Durham
779956,Durham
779958,Durham
779959,Durham
779960,Durham
779961,Durham
779962,Durham
779963,Durham
779965,Durham
779967,Durham
779968,Durham
779969,Durham
779970,Durham
779972,Durham
779973,Durham
779974,Durham
779975,Durham
779976,Durham
779977,Durham
779978,Durham
779979,Durham
779980,Durham
779981,Durham
779982,Durham
779983,Durham
779984,Durham
779985,Durham
779986,Durham
779987,Durham
779988,Durham
779989,Durham
779990,Durham
779992,Durham
779993,Durham
779994,Durham
779995,Durham
779996,Durham
779997,Durham
779998,Durham
779999,Durham
780000,Durham
780001,Durham
780003,Durham
780005,Durham
780006,Durham
780007,Durham
780008,Durham
780009,Durham
780010,Durham
780011,
780012,Durham
780013,Durham
780015,Durham
780016,Durham
780017,Durham
780018,Durham
780020,Durham
780021,Durham
780022,Durham
780023,Durham
780024,Durham
780026,Durham
780029,Durham
780030,Durham
780031,Durham
780032,Durham
780033,Durham
780034,Durham
780035,Durham
780036,Durham
780037,Durham
780039,Durham
780041,Durham
780042,Durham
780043,Durham
780044,Durham
780045,Durham
780046,Durham
780047,Durham
780048,Durham
780049,Durham
780050,Durham
780051,Durham
780052,Durham
780053,Durham
780054,Durham
780055,Durham
780056,Durham
780057,Durham
780058,Durham
780059,Durham
780060,Durham
780061,Durham
780062,Durham
780063,Durham
780064,Durham
780065,Durham
780066,Durham
780069,Durham
780070,Durham
780071,Durham
780072,Durham
780073,Durham
780077,Durham
780078,Durham
780079,Durham
780080,Durham
780081,Durham
780082,Durham
780084,Durham
780092,Durham
780093,Durham
780094,Durham
780095,Durham
780096,Durham
780099,Durham
780100,Durham
780101,Durham
780102,Durham
780103,Durham
780105,Durham
780107,Durham
780108,Durham
780109,Durham
780111,Durham
780112,Durham
780113,Durham
780114,Durham
780115,Durham
780118,Durham
780809,Durham
783785,Durham
786478,Durham
786479,Morrisville
786480,Durham
786481,Durham
789289,Durham
794891,Durham
794915,Durham
798983,Durham
803747,Durham
803748,Durham
803750,Durham
803751,Durham
803755,Durham
804102,Durham
804103,Durham
806519,Raleigh
807060,Durham
818176,Durham
835908,Durham
835909,Raleigh
2328346,Durham
2328649,Durham
2332196,Durham
2371071,Durham
2382222,Durham
2382248,Durham
2382510,Durham
2430351,Durham
2440811,Durham
2526381,Durham
2526382,Durham
2529105,Durham
2535914,Durham
2537591,Durham
2562286,Durham
2562287,Durham
2562288,Durham
2562289,Durham
2562290,Durham
2562291,Durham
2562292,Durham
2562293,Durham
2562294,Durham
2562295,Durham
2562296,Durham
2562297,Durham
2562298,Durham
2562299,Durham
2562471,Durham
2562472,Durham
2562473,Durham
2562474,Durham
2562476,Durham
2562477,Research Triangle Park
2562478,Research Triangle Park
2562479,Research Triangle Park
2562480,Research Triangle Park
2562481,Research Triangle Park
2562482,Research Triangle Park
2562483,Research Triangle Park
2562484,Research Triangle Park
2562485,Research Triangle Park
2562486,Research Triangle Park
2562487,Research Triangle Park
2562488,Research Triangle Park
2562489,Durham
2562490,Durham
2562491,Durham
2562504,Durham
2562505,Durham
2562506,Durham
2562507,Durham
2583089,Durham
