route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
62,1,,Espoon saaristoveneet,,4,http://www.espoo.fi/fi-FI/Kulttuuri_ja_liikunta/Ulkoilu/Saaristoliikenne,,
63,1,,Ahvenanmaan saaristolautat,,4,http://www.alandstrafiken.ax/fi/,,
64,12,,Pängätsalo,,4,http://www.keitelejarvi.fi,,
65,12,,Pikkarala,,4,http://fi.wikipedia.org/wiki/Pikkaralan_lossi,,
66,12,,Kellolampi,,4,http://fi.wikipedia.org/wiki/Lossi,,
67,12,,Paanalansalmi,,4,http://www.hankasalmi.fi/kivat-kayntikohteet/matkailijalle/kivat-kayntikohteet,,
68,12,,Haukkasalo,,4,https://fi-fi.facebook.com/pages/Haukkasalon-Lossi/224692140891354,,
69,12,,Kevätsalmi,,4,http://fi.wikipedia.org/wiki/Lossi,,
70,12,,Sorpo,,4,http://www.lautta.net/db/aikataulut/sorpo/sorpo.php?lang=fi,,
71,12,,Jussilansalmi,,4,http://kylat.ekarjala.fi/jankasalo/lossi/,,
72,12,,Ritosaari,,4,https://www.facebook.com/Ritosaari,,
73,12,,Tuohisaari,,4,http://www.tuohisaari.fi/?cat=11,,
74,12,,Pietolansaari,,4,https://fi-fi.facebook.com/Pietolansaari,,
75,12,,Laukansaari,,4,http://lautta.webs.com/,,
76,12,,Kongonsaari,,4,http://www.kongonsaari.fi/,,
77,12,,Ahvionsalmi,,4,http://fi.wikipedia.org/wiki/Lossi,,
78,12,,Kokonsaari,,4,http://fi.wikipedia.org/wiki/Lossi,,
79,12,,Käldö,,4,http://kaldofarja.webs.com/,,
80,12,,Pettu,,4,http://www.petunlossi.com/lossi.html,,
81,12,,Sandö,,4,http://fi.wikipedia.org/wiki/Lossi,,
82,12,,Karhusalmi,,4,http://www.tiekunta.fi/mietinsaari/?sivu=lossinaikataulu,,
83,12,,Haverö,,4,http://www.havero.info/f/,,
84,13,,Suomenlinnan lautta,,4,http://www.hsl.fi,,
85,1,,Teersalo-Hakkenpää,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/velkuan-reitti-kivimo.html,,
86,2,,Åva-Kustavi,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
87,2,,Åva-Jurmo,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
88,2,,Enklinge-Kumlinge,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
89,2,,Hummelvik-Enklinge-Kumlinge-Lappo-Torsholma,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
90,2,,Asterholma-Lappo-Torsholma,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
91,2,,Snäckö-Seglinge,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
92,2,,Snäckö-Överö-Bergö-Långnäs,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
93,2,,Snäckö-Sottunga-Överö-Långnäs,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
94,2,,Galtby-Kökar-Kyrkogårdsö-Husö-Sottunga-Överö-Långnäs,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
95,2,,Överö-Embarsund,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
96,2,,Svinö-Degerby,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
97,2,,Långnäs-Ängö,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
98,2,,Prästö-Töftö,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
99,2,,Sandö-Simskäla,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
100,2,,Björkö-Lappo,,4,http://www.alandstrafiken.ax/fi/aikataulut,,
101,2,,Maarianhamina-Hammarland-Eckerö,,4,http://www.alandstrafiken.ax/fi/aikataulut/bussien-aikatalut,,
102,2,,Maarianhamina-Godby-Geta,,4,http://www.alandstrafiken.ax/fi/aikataulut/bussien-aikatalut,,
103,2,,Maarianhamina-Godby-Saltvik,,4,http://www.alandstrafiken.ax/fi/aikataulut/bussien-aikatalut,,
104,2,,Maarianhamina-Godby-Sund-Vårdö,,4,http://www.alandstrafiken.ax/fi/aikataulut/bussien-aikatalut,,
105,2,,Maarianhamina-Lemland-Lumparland,,4,http://www.alandstrafiken.ax/fi/aikataulut/bussien-aikatalut,,
106,14,,Turku-Seili-Nauvo,,4,http://www.vitharun.fi,,
107,16,Kauppatori-Korkeasaari,Kauppatori-Korkeasaari,,4,http://www.suomensaaristokuljetus.fi/korkeasaari/,,
108,15,Otaniemen reitti,Otaniemi-Haukilahti-Matinkylä-Iso Vasikkasaari-Suomenoja-Stora Herrö-Rövaren-Gåsgrundet,,4,https://www.espoo.fi/fi-FI/Kulttuuri_ja_liikunta/Ulkoilu/Saaristoliikenne,,
109,15,Kivenlahden reitti,Kivenlahti-Ristiniemi-Soukka-Pentala-Suinonsalmi-Gåsgrundet-Rövaren-Stora Herrö,,4,https://www.espoo.fi/fi-FI/Kulttuuri_ja_liikunta/Ulkoilu/Saaristoliikenne,,
110,15,Ison Vasikkasaaren reitti,Suomenoja-Iso Vasikkasaari,,4,https://www.espoo.fi/fi-FI/Kulttuuri_ja_liikunta/Ulkoilu/Saaristoliikenne,,
111,15,Pentalan reitti,Suomenoja-Suinonsalmi-Pentala-Soukka,,4,https://www.espoo.fi/fi-FI/Kulttuuri_ja_liikunta/Ulkoilu/Saaristoliikenne,,
