trip_id,start_time,end_time,headway_secs
50024210,6:00:00,9:00:00,300
50024210,9:00:00,15:00:00,900
50024210,15:00:00,21:00:00,300
50024111,6:00:00,9:00:00,300
50024111,9:00:00,15:00:00,900
50024111,15:00:00,21:00:00,300
50024110,6:00:00,9:00:00,300
50024110,9:00:00,15:00:00,900
50024110,15:00:00,21:00:00,300
50033161,6:00:00,9:00:00,300
50033161,9:00:00,15:00:00,900
50033161,15:00:00,21:00:00,300
50033160,6:00:00,9:00:00,300
50033160,9:00:00,15:00:00,900
50033160,15:00:00,21:00:00,300
50033131,6:00:00,9:00:00,300
50033131,9:00:00,15:00:00,900
50033131,15:00:00,21:00:00,300
50033130,6:00:00,9:00:00,300
50033130,9:00:00,15:00:00,900
50033130,15:00:00,21:00:00,300
50033141,6:00:00,9:00:00,300
50033141,9:00:00,15:00:00,900
50033141,15:00:00,21:00:00,300
50033140,6:00:00,9:00:00,300
50033140,9:00:00,15:00:00,900
50033140,15:00:00,21:00:00,300
50033111,6:00:00,9:00:00,300
50033111,9:00:00,15:00:00,900
50033111,15:00:00,21:00:00,300
50033110,6:00:00,9:00:00,300
50033110,9:00:00,15:00:00,900
50033110,15:00:00,21:00:00,300
50033311,6:00:00,9:00:00,300
50033311,9:00:00,15:00:00,900
50033311,15:00:00,21:00:00,300
50033310,6:00:00,9:00:00,300
50033310,9:00:00,15:00:00,900
50033310,15:00:00,21:00:00,300
50110111,6:00:00,9:00:00,300
50110111,9:00:00,15:00:00,900
50110111,15:00:00,21:00:00,300
50110110,6:00:00,9:00:00,300
50110110,9:00:00,15:00:00,900
50110110,15:00:00,21:00:00,300
50110121,6:00:00,9:00:00,300
50110121,9:00:00,15:00:00,900
50110121,15:00:00,21:00:00,300
50110120,6:00:00,9:00:00,300
50110120,9:00:00,15:00:00,900
50110120,15:00:00,21:00:00,300
50110211,6:00:00,9:00:00,300
50110211,9:00:00,15:00:00,900
50110211,15:00:00,21:00:00,300
50110210,6:00:00,9:00:00,300
50110210,9:00:00,15:00:00,900
50110210,15:00:00,21:00:00,300
50125111,6:00:00,9:00:00,300
50125111,9:00:00,15:00:00,900
50125111,15:00:00,21:00:00,300
50125110,6:00:00,9:00:00,300
50125110,9:00:00,15:00:00,900
50125110,15:00:00,21:00:00,300
50126211,6:00:00,9:00:00,300
50126211,9:00:00,15:00:00,900
50126211,15:00:00,21:00:00,300
50126210,6:00:00,9:00:00,300
50126210,9:00:00,15:00:00,900
50126210,15:00:00,21:00:00,300
50126111,6:00:00,9:00:00,300
50126111,9:00:00,15:00:00,900
50126111,15:00:00,21:00:00,300
50126110,6:00:00,9:00:00,300
50126110,9:00:00,15:00:00,900
50126110,15:00:00,21:00:00,300
50011121,6:00:00,9:00:00,300
50011121,9:00:00,15:00:00,900
50011121,15:00:00,21:00:00,300
50011120,6:00:00,9:00:00,300
50011120,9:00:00,15:00:00,900
50011120,15:00:00,21:00:00,300
6007C111,6:00:00,9:00:00,300
6007C111,9:00:00,15:00:00,900
6007C111,15:00:00,21:00:00,300
6007C110,6:00:00,9:00:00,300
6007C110,9:00:00,15:00:00,900
6007C110,15:00:00,21:00:00,300
60046111,6:00:00,9:00:00,300
60046111,9:00:00,15:00:00,900
60046111,15:00:00,21:00:00,300
60046110,6:00:00,9:00:00,300
60046110,9:00:00,15:00:00,900
60046110,15:00:00,21:00:00,300
60046211,6:00:00,9:00:00,300
60046211,9:00:00,15:00:00,900
60046211,15:00:00,21:00:00,300
60046210,6:00:00,9:00:00,300
60046210,9:00:00,15:00:00,900
60046210,15:00:00,21:00:00,300
60056111,6:00:00,9:00:00,300
60056111,9:00:00,15:00:00,900
60056111,15:00:00,21:00:00,300
60056110,6:00:00,9:00:00,300
60056110,9:00:00,15:00:00,900
60056110,15:00:00,21:00:00,300
70001111,6:00:00,9:00:00,300
70001111,9:00:00,15:00:00,900
70001111,15:00:00,21:00:00,300
70001110,6:00:00,9:00:00,300
70001110,9:00:00,15:00:00,900
70001110,15:00:00,21:00:00,300
70002111,6:00:00,9:00:00,300
70002111,9:00:00,15:00:00,900
70002111,15:00:00,21:00:00,300
