runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
21200000,WKO00_MTWThFSSu_20200325_20200625,11620,212,1,t_1028530_b_25567_tn_0,14002516,t_1028530_b_25567_tn_0,14001491
21300000,WKO00_MTWThFSSu_20200325_20200625,202,213,1,t_1028547_b_25567_tn_0,14001491,t_1028589_b_25567_tn_0,14001491
21400000,WKO00_MTWThFSSu_20200325_20200625,205,214,1,t_1028544_b_25567_tn_0,14003793,t_1028581_b_25567_tn_0,14003793
21500000,WKO00_MTWThFSSu_20200325_20200625,208,215,1,t_1028559_b_25567_tn_0,14001491,t_1028556_b_25567_tn_0,14001491
21600000,WKO00_MTWThFSSu_20200325_20200625,33054,216,1,t_1018369_b_25567_tn_0,14004347,t_1018363_b_25567_tn_0,14004347
21700000,WKO00_MTWThFSSu_20200325_20200625,412,217,1,t_1028531_b_25567_tn_0,14002516,t_1028529_b_25567_tn_0,14002530
21800000,WKO00_MTWThFSSu_20200325_20200625,418,218,1,t_1028520_b_25567_tn_0,14001491,t_1028524_b_25567_tn_0,14001491
21900000,WKO00_MTWThFSSu_20200325_20200625,U1-01,219,1,t_1018975_b_25567_tn_0,14001491,t_1018986_b_25567_tn_0,14001491
2200000,WKO00_MTWThF_20200626_20230429,U1-17,22,1,t_985391_b_25620_tn_0,14001723,t_985391_b_25620_tn_0,14002530
22000000,WKO00_MTWThFSSu_20200325_20200625,U1-03,220,1,t_1024307_b_25567_tn_0,14008699,t_1024332_b_25567_tn_0,14008699
22100000,WKO00_MTWThFSSu_20200325_20200625,U1-04,221,1,t_1026127_b_25567_tn_0,14001491,t_1026123_b_25567_tn_0,14006438
22200000,WKO00_MTWThFSSu_20200325_20200625,U1-05,222,1,t_1026124_b_25567_tn_0,14006438,t_1026152_b_25567_tn_0,14001491
22300000,WKO00_MTWThFS_20200325_20200625,11582,223,1,t_1055612_b_25567_tn_0,14002376,t_1055645_b_25567_tn_0,14001490
22400000,WKO00_MTWThFS_20200325_20200625,11583,224,1,t_1055530_b_25567_tn_0,14001490,t_1055542_b_25567_tn_0,14002291
22500000,WKO00_MTWThFS_20200325_20200625,11584,225,1,t_1055511_b_25567_tn_0,14004413,t_1055566_b_25567_tn_0,14001490
