stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
rt21S11,N Mirror St & NE 18th Ave,This stop is on N Mirror St and South of NE 18th Ave on the Southeast corner,35.232887,-101.817594,,,
rt21S12,N Mirror St & NE 24th Ave,This stop is on N Mirror St and South of NE 24th Ave on the Southeast corner,35.23616094,-101.8175431,,,
rt21S13,Sycamore St & N Mirror St,This stop is on Sycamore St and West of N Mirror St on the Northwest corner,35.240592,-101.817900,,,
rt21S14,Sycamore St & Angelous Dr,This stop is on Sycamore St and Angelous Dr on the Northeast corner,35.24079936,-101.8219552,,,
rt21S15,Angelus Dr & La Mesa Ave,This stop is on Angelus Dr and La Mesa Ave and sits on West end of the parking lot for New Covenant Missionary Baptist Church,35.243880,-101.822056,,,
rt21S16,Jason Ave & Orange St (Cypress Creek Apartments),This stop is on Jason Ave and West of Orange St the South parking of Cypress Creek Apartments,35.24765722,-101.82576,,,
rt21S17,Jason Ave & Magnolia St (Mariposa Apartments),This stop is on Jason Ave and West of Magnolia St and in front of the Mariposa Apartments,35.24776125,-101.8279859,,,
rt21S18,Jason Ave & Palm St (United Supermarket),This stop is on Jason Ave and West of Palm St on the South side of United Supermarket,35.247835,-101.829253,,,
rt21S19,Sycamore St & Oak Dr,This stop is on Sycamore St and West of Oak Dr,35.24241486,-101.8276709,,,
rt21S20,Oak Dr & Poplar St,This stop is on Oak Dr and North of Poplar St,35.23967957,-101.8283793,,,
rt21S21,Poplar St & NE 24th Ave,This stop is on Poplar St and North of NE 24th Ave,35.23648439,-101.8267321,,,
rt21S22,NE 24th Ave & Oak Dr,This stop is on NE 24th Ave and West of Oak Dr,35.236434,-101.828931,,,
rt21S23,NE 24th Ave & Dumas Dr,This stop is on NE 24th Ave and Dumas Dr on the Northwest corner,35.2367487,-101.8318215,,,
rt21S24,N Polk St & Terry St,This stop is on N Polk St and South of Terry St on the Southwest corner,35.23213888,-101.8342766,,,
rt21S25,N Polk St & NW 11th Ave,This stop is on N Polk St and South of NW 11th Ave on the Southwest corner,35.22503352,-101.8342588,,,
rt21S26,N Taylor St & NE 7th Ave,This stop is on N Taylor St and North of NE 7th Ave on the Northwest corner,35.220244,-101.833371,,,
