stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
leeoak,146,Old Lee Highway at Great Oak Dr,,38.859974,-77.281372
nutlleeh,198,Nutley Street at Pan Am Shopping,,38.872794,-77.263502
jermai,163,Jermantown Rd at Main St,,38.855507,-77.332528
eatoff,15,Eaton Place at Office Park,,38.86098,-77.30168
maited,112,Main St at Tedrich Blvd,,38.843851,-77.292519
picfox,53,Old Pickett Rd at Foxcroft Apts,,38.8628,-77.273113
leehnutl,197,Nutley Street at Pan Am Shopping,,38.872912,-77.263321
cousut_o,2,Country Creek at Village Spring Lane,,38.87829,-77.27839
leegui,80,Lee Highway at Guitar Center,,38.852044,-77.328785
bevwar,195,Warwick Ave and Bevan Drive,,38.859355,-77.326131
leebroo,148,Old Lee Highway at Brookwood Dr,,38.856703,-77.288956
blafiv_o,3,Blake Ln at Five Oaks Rd,,38.873498,-77.28183
picjlts,99,Old Pickett Road at J.L. Tree Service,,38.862757,-77.272927
102lee,137,Fairfax Blvd at 10201 Block,,38.861389,-77.297401
chaarm,127,Chain Bridge Rd at Armstrong St,,38.841694,-77.309447
arlingpick_o,186,Fairfax Blvd and Pickett Road,,38.865026,-77.270468
unifir,119,University Dr at Fire Station No.3,,38.843514,-77.306329
chaino,125,Chain Bridge Rd at INOVA,,38.83853,-77.31159
drabee,177,Draper Dr at Beech Dr,,38.866724,-77.281217
leelib,192,Old Lee Highway at Library,,38.846746,-77.303378
faieat,190,Eaton Place and Fairfax Blvd,,38.861014,-77.302014
unisag,118,University Dr at Sager Ave,,38.844942,-77.305829
chamai,129,Chain Bridge Rd at Main St,,38.846027,-77.306722
