timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
21840,4000356,"Martha Custis Dr+Ravensworth Pl",,38.833183,-77.081978,,,,,,0
21842,4000659,"Russell Rd+W Mason Ave",,38.820801,-77.066559,,,,,,0
21846,4000306,"Seminary Rd+N Pickett St",,38.826595,-77.109344,,,,,,0
21847,4000038,"2712 Duke St",,38.806747,-77.077583,,,,,,0
21850,4000734,"S Whiting St + Edsall Rd",,38.808163,-77.135109,,,,,,0
21851,4000753,"King St+Radford St",,38.826233,-77.086716,,,,,,0
21852,4000700,"Russell Rd+W Monroe Ave",,38.819595,-77.066406,,,,,,0
21854,4000834,"Madison St+N Fayette St",,38.813683,-77.050926,,,,,,0
21855,4000788,"N Howard St + Louis Pl",,38.827457,-77.104156,,,,,,0
21857,4000649,"Russell Rd+Rosecrest Ave",,38.825812,-77.065376,,,,,,0
21859,4000090,"301 Yoakum Pkwy",,38.810703,-77.139503,,,,,,0
21861,4000561,"W Reed Ave+Commonwealth Ave",,38.836605,-77.057587,,,,,,0
21862,4000300,"N Van Dorn St+Maris Ave",,38.826111,-77.119713,,,,,,0
21863,4000758,"Reading Ave + N Beauregard St",,38.829967,-77.125420,,,,,,0
21864,4000687,"Russell Rd+W Howell Ave",,38.823364,-77.065674,,,,,,0
21865,4000516,"W Braddock Rd+Hancock Ave",,38.816757,-77.063499,,,,,,0
21866,4000730,"Jamieson Ave+Courthouse Sq",,38.803120,-77.065811,,,,,,0
21867,4000029,"Duke St+Dove St",,38.805386,-77.068962,,,,,,0
21868,4000563,"114 E Reed Ave",,38.837063,-77.053001,,,,,,0
21870,4000565,"E Reed Ave+Evans Ln",,38.837002,-77.053902,,,,,,0
21872,4000262,"N Van Dorn St+Taney Ave",,38.822433,-77.125313,,,,,,0
21873,4000316,"N Beauregard St+Roanoke Ave",,38.827579,-77.127502,,,,,,0
21875,4000651,"Russell Rd+Woodland Ter",,38.827484,-77.065956,,,,,,0
21876,4000738,"King St+N Peyton St",,38.806236,-77.055557,,,,,,0
21878,4000218,"Holmes Run Pkwy+N Van Dorn St",,38.818665,-77.127419,,,,,,0
21879,4000058,"Alexandria Commons",,38.808147,-77.085793,,,,,,0
21881,4000585,"Eisenhower Ave + Ike Drive EB",,38.802505,-77.082352,,,,,,0
21882,4000131,"Duke St+S Pickett St",,38.812458,-77.121292,,,,,,0
21883,4000528,"E Braddock Rd+E Spring St",,38.815563,-77.060799,,,,,,0
21885,4000826,"Martha Custis Dr + Fitzgerald Ln",,38.838673,-77.083496,,,,,,0
21886,4000882,"King St + Qunicy St",,38.823429,-77.082024,,,,,,0
21888,4000499,"Cameron Mills Rd+Crescent Dr",,38.834515,-77.075935,,,,,,0
21889,4000521,"Cameron Mills Rd+Woodland Ter",,38.824841,-77.073593,,,,,,0
21890,4000842,"Martha Custis Dr + Fitzgerald Ln",,38.838600,-77.083649,,,,,,0
21891,4000061,"Duke St+S Quaker Ln",,38.808262,-77.088051,,,,,,0
21892,4000491,"Bradlee Shopping Center EB",,38.829456,-77.091263,,,,,,0
21893,4000880,"King St + Kenwood Ave",,38.825146,-77.084694,,,,,,0
21894,4000485,"W Braddock Rd at Fort Ward",,38.828655,-77.102219,,,,,,0
21895,4000805,"Cameron Run Regional Park-EB",,38.804260,-77.102180,,,,,,0
21896,4000580,"N Armistead St+Quantrell Ave",,38.820385,-77.133636,,,,,,0
21897,4000329,"Mt Vernon Ave+E Randolph Ave",,38.829193,-77.059135,,,,,,0
21899,4000118,"Beatley Library",,38.811993,-77.117340,,,,,,0
21900,4000845,"N Menokin Dr+N Early St",,38.830421,-77.097092,,,,,,0
21901,4000853,"Montgomery St + N Alfred St",,38.814484,-77.047073,,,,,,0
21902,4000971,"S Royal St+Wolfe St",,38.801018,-77.044319,,,,,,0
21903,4000695,"N Royal St+Oronoco St",,38.809391,-77.042702,,,,,,0
21904,4000989,"Cameron Parke Court",,38.803753,-77.095406,,,,,,0
21908,4000710,"S Fayette St+Franklin St",,38.798740,-77.053879,,,,,,0
21909,4000517,"W Braddock Rd+W Glendale Ave",,38.816437,-77.063103,,,,,,0
21910,4000857,"King St+N Saint Asaph St",,38.804989,-77.045677,,,,,,0
21911,4000635,"N Pitt St+Bellvue Pl",,38.817322,-77.042168,,,,,,0
