stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
53,4000076,"3700 Duke St",,38.809624,-77.094719,,,,,,0
54,4000077,"S Whiting St+Lane Dr",,38.809746,-77.135803,,,,,,0
55,4000078,"Duke St+Fort Williams Pkwy",,38.809834,-77.094955,,,,,,0
57,4000082,"Pendleton St+N Royal St",,38.810280,-77.042557,,,,,,0
59,4000084,"N Washington St+Pendleton St",,38.810585,-77.045677,,,,,,0
60,4000086,"Pendleton St+N Saint Asaph St",,38.810577,-77.044861,,,,,,0
61,4000087,"Pendleton St+N Saint Asaph St",,38.810684,-77.044899,,,,,,0
62,4000089,"300 Yoakum Pkwy",,38.810783,-77.139252,,,,,,0
63,4000090,"301 Yoakum Pkwy",,38.810703,-77.139503,,,,,,0
65,4000092,"King St+Walnut Dr",,38.810898,-77.067253,,,,,,0
66,4000093,"Duke St+S French St",,38.810839,-77.100833,,,,,,0
67,4000094,"Duke St+N French St",,38.810871,-77.100380,,,,,,0
68,4000095,"Pendleton St + N Columbus St",,38.810875,-77.047089,,,,,,0
71,4000099,"King St+Upland Pl",,38.810871,-77.067421,,,,,,0
72,4000101,"Pendleton St+N Patrick St",,38.811073,-77.048775,,,,,,0
73,4000103,"Duke St+S Gordon St",,38.811197,-77.102546,,,,,,0
74,4000104,"Pendleton St+N Henry St",,38.811340,-77.049942,,,,,,0
75,4000105,"Pendleton St+N Henry St",,38.811279,-77.050407,,,,,,0
76,4000108,"Duke St+S Gordon St",,38.811485,-77.103249,,,,,,0
77,4000109,"Pendleton St+N Payne St",,38.811546,-77.052460,,,,,,0
78,4000110,"Duke St+Somervelle St",,38.811624,-77.116854,,,,,,0
79,4000111,"Stevenson Ave+S Van Dorn St",,38.811626,-77.132706,,,,,,0
80,4000113,"4600 Duke St",,38.811699,-77.111839,,,,,,0
81,4000114,"Duke St+Ingram St",,38.811760,-77.104942,,,,,,0
82,4000115,"Duke St near Shops at Foxchase",,38.811977,-77.112129,,,,,,0
83,4000116,"King St+Highland Pl",,38.811954,-77.068649,,,,,,0
84,4000117,"Duke St+Cameron Station Blvd / N Pickett St",,38.811905,-77.119164,,,,,,0
85,4000118,"Beatley Library",,38.811993,-77.117340,,,,,,0
86,4000120,"Duke St+S Jordan St",,38.811958,-77.108971,,,,,,0
87,4000121,"Duke St+S Ingram St",,38.812286,-77.106750,,,,,,0
88,4000122,"Duke St+N Jordan St",,38.812183,-77.109428,,,,,,0
89,4000123,"Duke St+N Pickett St / Cameron St Blvd",,38.812252,-77.119415,,,,,,0
90,4000126,"100 S Van Dorn St",,38.812252,-77.131073,,,,,,0
91,4000127,"Duke St+S Pickett St",,38.812180,-77.121323,,,,,,0
92,4000128,"Stevenson Ave+S Van Dorn St",,38.812351,-77.133095,,,,,,0
93,4000129,"S Whiting St+Stevenson Ave",,38.812420,-77.137062,,,,,,0
94,4000130,"King St+Highland Pl",,38.812244,-77.069229,,,,,,0
95,4000131,"Duke St+S Pickett St",,38.812458,-77.121292,,,,,,0
96,4000132,"101 S Van Dorn St",,38.812359,-77.131416,,,,,,0
97,4000133,"Yoakum Pkwy+Stevenson Ave",,38.812439,-77.139931,,,,,,0
98,4000136,"Duke St+N Paxton St",,38.812519,-77.124214,,,,,,0
99,4000137,"Yoakum Pkwy+Stevenson Ave",,38.812721,-77.139671,,,,,,0
100,4000138,"Duke St+N Paxton St",,38.812756,-77.123573,,,,,,0
101,4000139,"5920 Stevenson Ave",,38.812771,-77.136147,,,,,,0
102,4000140,"5951 Stevenson Ave",,38.812878,-77.135956,,,,,,0
103,4000141,"Stevenson Av + S Whiting St",,38.812847,-77.137604,,,,,,0
104,4000142,"Stevenson Ave + S Whiting St",,38.812992,-77.137680,,,,,,0
105,4000148,"Duke St+N Ripley St",,38.813187,-77.126305,,,,,,0
106,4000149,"Duke St+N Ripley St",,38.813473,-77.126068,,,,,,0
109,4000155,"Janneys Ln+Robinson Ct",,38.813725,-77.074570,,,,,,0
110,4000156,"Janneys Ln+Putnam Pl",,38.813889,-77.072792,,,,,,0
112,4000158,"Janneys Ln+King St",,38.813843,-77.071739,,,,,,0
113,4000159,"Janneys Ln+Robinson Ct",,38.813942,-77.075043,,,,,,0
