service_id,date,exception_type
50201_merged_1252149,20200312,1
50201_merged_1252149,20200305,1
203_merged_1252175,20200329,1
203_merged_1252175,20200405,1
203_merged_1252175,20200322,1
203_merged_1252175,20200315,1
203_merged_1252175,20200412,1
22301_merged_1252208,20200505,1
22301_merged_1252208,20200623,1
22301_merged_1252208,20200609,1
22301_merged_1252208,20200414,1
22301_merged_1252208,20200616,1
22301_merged_1252208,20200602,1
22301_merged_1252208,20200512,1
22301_merged_1252208,20200421,1
22301_merged_1252208,20200526,1
22301_merged_1252208,20200428,1
22301_merged_1252208,20200519,1
22401_merged_1252125,20200312,1
22401_merged_1252125,20200409,1
22401_merged_1252125,20200305,1
22401_merged_1252125,20200319,1
22401_merged_1252125,20200402,1
22401_merged_1252125,20200326,1
143401_merged_1252126,20200311,1
143401_merged_1252126,20200304,1
24401_merged_1252179,20200330,1
24401_merged_1252179,20200331,1
24401_merged_1252179,20200403,1
24401_merged_1252179,20200408,1
24401_merged_1252179,20200409,1
24401_merged_1252179,20200406,1
24401_merged_1252179,20200407,1
24401_merged_1252179,20200401,1
24401_merged_1252179,20200402,1
24401_merged_1252179,20200410,1
202_merged_1252176,20200321,1
202_merged_1252176,20200328,1
202_merged_1252176,20200404,1
202_merged_1252176,20200411,1
22201_merged_1252160,20200311,1
22201_merged_1252160,20200408,1
22201_merged_1252160,20200304,1
22201_merged_1252160,20200318,1
22201_merged_1252160,20200325,1
22201_merged_1252160,20200401,1
3102_merged_1252169,20200307,1
177501,20200303,1
177501,20200302,1
177501,20200312,1
177501,20200313,1
177501,20200306,1
177501,20200305,1
177501,20200304,1
177501,20200318,1
177501,20200319,1
177501,20200309,1
177501,20200317,1
177501,20200316,1
177501,20200310,1
177501,20200320,1
52901,20200303,1
52901,20200302,1
52901,20200312,1
52901,20200313,1
52901,20200306,1
52901,20200305,1
52901,20200304,1
52901,20200318,1
52901,20200319,1
52901,20200309,1
52901,20200317,1
52901,20200316,1
52901,20200310,1
52901,20200320,1
22101_merged_1252195,20200612,1
22101_merged_1252195,20200424,1
22101_merged_1252195,20200619,1
22101_merged_1252195,20200605,1
22101_merged_1252195,20200626,1
22101_merged_1252195,20200522,1
22101_merged_1252195,20200501,1
22101_merged_1252195,20200529,1
22101_merged_1252195,20200515,1
22101_merged_1252195,20200417,1
22101_merged_1252195,20200508,1
3601,20200303,1
3601,20200302,1
3601,20200312,1
3601,20200313,1
3601,20200306,1
3601,20200305,1
3601,20200304,1
3601,20200318,1
3601,20200319,1
3601,20200309,1
3601,20200317,1
3601,20200316,1
3601,20200310,1
3601,20200320,1
22301_merged_1252135,20200303,1
22301_merged_1252135,20200310,1
22301_merged_1252135,20200407,1
22301_merged_1252135,20200331,1
22301_merged_1252135,20200317,1
22301_merged_1252135,20200324,1
24402_merged_1252251,20200613,1
24402_merged_1252251,20200425,1
24402_merged_1252251,20200606,1
24402_merged_1252251,20200530,1
24402_merged_1252251,20200418,1
